	OMIM_Num	diseaseName	HPO_ID	HPO_Name
551	250100	Metachromatic leukodystrophy	HP:0002510	Spastic tetraplegia
409	250100	Metachromatic leukodystrophy	HP:0001265	Hyporeflexia
355	250100	Metachromatic leukodystrophy	HP:0001260	Dysarthria
348	250100	Metachromatic leukodystrophy	HP:0001252	Hypotonia
312	250100	Metachromatic leukodystrophy	HP:0001250	Seizure
307	250100	Metachromatic leukodystrophy	HP:0000762	Decreased nerve conduction velocity
287	250100	Metachromatic leukodystrophy	HP:0001249	Intellectual disability
226	250100	Metachromatic leukodystrophy	HP:0000007	Autosomal recessive inheritance
11	250100	Metachromatic leukodystrophy	HP:0000020	Urinary incontinence
176	250100	Metachromatic leukodystrophy	HP:0003487	Babinski sign
493	250100	Metachromatic leukodystrophy	HP:0011096	Peripheral demyelination
558	250100	Metachromatic leukodystrophy	HP:0002922	Increased CSF protein
561	250100	Metachromatic leukodystrophy	HP:0005609	Gallbladder dysfunction
560	250100	Metachromatic leukodystrophy	HP:0003445	EMG: neuropathic changes
562	250100	Metachromatic leukodystrophy	HP:0007133	Progressive peripheral neuropathy
52	250100	Metachromatic leukodystrophy	HP:0001251	Ataxia
715	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0002878	Respiratory failure
768	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0100660	Dyskinesia
53	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001251	Ataxia
712	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0002490	Increased CSF lactate
349	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001252	Hypotonia
707	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0002421	Poor head control
702	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0002352	Leukoencephalopathy
695	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0002240	Hepatomegaly
378	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001263	Global developmental delay
559	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0002922	Increased CSF protein
689	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0002104	Apnea
410	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001265	Hyporeflexia
683	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0002093	Respiratory insufficiency
681	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0002069	Bilateral tonic-clonic seizure
720	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0003200	Ragged-red muscle fibers
721	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0003202	Skeletal muscle atrophy
725	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0003348	Hyperalaninemia
729	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0003546	Exercise intolerance
765	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0012240	Increased intramyocellular lipid droplets
177	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0003487	Babinski sign
764	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0011924	Decreased activity of mitochondrial complex III
763	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0011923	Decreased activity of mitochondrial complex I
758	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0008872	Feeding difficulties in infancy
757	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0008160	3-hydroxydicarboxylic aciduria
755	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0007965	Undetectable visual evoked potentials
754	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0007183	Focal T2 hyperintense basal ganglia lesion
753	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0006965	Acute necrotizing encephalopathy
227	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0000007	Autosomal recessive inheritance
752	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0005157	Concentric hypertrophic cardiomyopathy
751	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0004900	Severe lactic acidosis
750	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0004481	Progressive macrocephaly
749	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0003648	Lacticaciduria
730	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0003593	Infantile onset
678	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0002013	Vomiting
676	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001943	Hypoglycemia
694	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0002181	Cerebral edema
613	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0000618	Blindness
619	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001254	Lethargy
618	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001138	Optic neuropathy
617	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0000961	Cyanosis
616	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0000817	Poor eye contact
674	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001744	Splenomegaly
611	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0000582	Upslanted palpebral fissure
607	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0000543	Optic disc pallor
603	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0000508	Ptosis
594	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0000486	Strabismus
767	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0032653	Elevated lactate:pyruvate ratio
586	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0000407	Sensorineural hearing impairment
585	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0000331	Short chin
104	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001347	Hyperreflexia
566	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0000252	Microcephaly
563	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0000047	Hypospadias
623	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001259	Coma
463	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0002376	Developmental regression
766	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0012752	Focal T2 hypointense basal ganglia lesion
129	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0002415	Leukodystrophy
668	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001522	Death in infancy
646	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001508	Failure to thrive
645	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001427	Mitochondrial inheritance
644	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001399	Hepatic failure
19	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0000639	Nystagmus
643	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001308	Tongue fasciculations
626	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001272	Cerebellar atrophy
73	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001257	Spasticity
658	252010	Mitochondrial complex I deficiency, nuclear type 1	HP:0001510	Growth delay
810	260600	Leukodystrophy, hypomyelinating, 3	HP:0008936	Axial hypotonia
803	260600	Leukodystrophy, hypomyelinating, 3	HP:0007256	Abnormal pyramidal sign
800	260600	Leukodystrophy, hypomyelinating, 3	HP:0003269	Sudanophilic leukodystrophy
818	260600	Leukodystrophy, hypomyelinating, 3	HP:0011344	Severe global developmental delay
802	260600	Leukodystrophy, hypomyelinating, 3	HP:0006918	Diffuse cerebral sclerosis
801	260600	Leukodystrophy, hypomyelinating, 3	HP:0005876	Progressive flexion contractures
791	260600	Leukodystrophy, hypomyelinating, 3	HP:0002353	EEG abnormality
196	260600	Leukodystrophy, hypomyelinating, 3	HP:0003676	Progressive
792	260600	Leukodystrophy, hypomyelinating, 3	HP:0002587	Projectile vomiting
784	260600	Leukodystrophy, hypomyelinating, 3	HP:0001622	Premature birth
567	260600	Leukodystrophy, hypomyelinating, 3	HP:0000252	Microcephaly
795	260600	Leukodystrophy, hypomyelinating, 3	HP:0002804	Arthrogryposis multiplex congenita
771	260600	Leukodystrophy, hypomyelinating, 3	HP:0000280	Coarse facial features
647	260600	Leukodystrophy, hypomyelinating, 3	HP:0001508	Failure to thrive
379	260600	Leukodystrophy, hypomyelinating, 3	HP:0001263	Global developmental delay
228	260600	Leukodystrophy, hypomyelinating, 3	HP:0000007	Autosomal recessive inheritance
787	260600	Leukodystrophy, hypomyelinating, 3	HP:0002313	Spastic paraparesis
793	260600	Leukodystrophy, hypomyelinating, 3	HP:0002751	Kyphoscoliosis
313	260600	Leukodystrophy, hypomyelinating, 3	HP:0001250	Seizure
785	260600	Leukodystrophy, hypomyelinating, 3	HP:0002283	Global brain atrophy
219	260600	Leukodystrophy, hypomyelinating, 3	HP:0007371	Corpus callosum atrophy
669	260600	Leukodystrophy, hypomyelinating, 3	HP:0001522	Death in infancy
775	260600	Leukodystrophy, hypomyelinating, 3	HP:0000505	Visual impairment
20	260600	Leukodystrophy, hypomyelinating, 3	HP:0000639	Nystagmus
130	260600	Leukodystrophy, hypomyelinating, 3	HP:0002415	Leukodystrophy
849	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0001276	Hypertonia
864	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0005280	Depressed nasal bridge
731	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0003593	Infantile onset
863	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0003186	Inverted nipples
21	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0000639	Nystagmus
819	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0011344	Severe global developmental delay
178	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0003487	Babinski sign
827	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0000248	Brachycephaly
828	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0000316	Hypertelorism
830	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0000369	Low-set ears
836	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0000431	Wide nasal bridge
838	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0000510	Rod-cone dystrophy
841	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0000580	Pigmentary retinopathy
843	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0000654	Decreased light- and dark-adapted electroretinogram amplitude
844	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0000737	Irritability
859	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0002910	Elevated hepatic transaminase
851	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0001319	Neonatal hypotonia
229	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0000007	Autosomal recessive inheritance
866	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0006555	Diffuse hepatic steatosis
867	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0006887	Intellectual disability, progressive
696	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0002240	Hepatomegaly
870	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0008619	Bilateral sensorineural hearing impairment
131	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0002415	Leukodystrophy
449	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0002015	Dysphagia
464	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0002376	Developmental regression
491	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0007305	CNS demyelination
858	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0002007	Frontal bossing
525	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0001332	Dystonia
496	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0000648	Optic atrophy
595	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0000486	Strabismus
872	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0010864	Intellectual disability, severe
871	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0008763	No social interaction
314	264470	Peroxisomal acyl-coa oxidase deficiency	HP:0001250	Seizure
883	266150	Pyruvate carboxylase deficiency	HP:0002169	Clonus
894	266150	Pyruvate carboxylase deficiency	HP:0003542	Increased serum pyruvate
876	266150	Pyruvate carboxylase deficiency	HP:0002151	Increased serum lactate
875	266150	Pyruvate carboxylase deficiency	HP:0002049	Proximal renal tubular acidosis
895	266150	Pyruvate carboxylase deficiency	HP:0003577	Congenital onset
901	266150	Pyruvate carboxylase deficiency	HP:0006970	Periventricular leukomalacia
902	266150	Pyruvate carboxylase deficiency	HP:0007190	Neuronal loss in the cerebral cortex
288	266150	Pyruvate carboxylase deficiency	HP:0001249	Intellectual disability
903	266150	Pyruvate carboxylase deficiency	HP:0025356	Psychomotor retardation
886	266150	Pyruvate carboxylase deficiency	HP:0003128	Lactic acidosis
380	266150	Pyruvate carboxylase deficiency	HP:0001263	Global developmental delay
230	266150	Pyruvate carboxylase deficiency	HP:0000007	Autosomal recessive inheritance
315	266150	Pyruvate carboxylase deficiency	HP:0001250	Seizure
726	266150	Pyruvate carboxylase deficiency	HP:0003348	Hyperalaninemia
697	266150	Pyruvate carboxylase deficiency	HP:0002240	Hepatomegaly
132	266150	Pyruvate carboxylase deficiency	HP:0002415	Leukodystrophy
677	266150	Pyruvate carboxylase deficiency	HP:0001943	Hypoglycemia
430	266150	Pyruvate carboxylase deficiency	HP:0001290	Generalized hypotonia
350	266150	Pyruvate carboxylase deficiency	HP:0001252	Hypotonia
909	278800	De Sanctis-Cacchione syndrome	HP:0000656	Ectropion
910	278800	De Sanctis-Cacchione syndrome	HP:0000992	Cutaneous photosensitivity
911	278800	De Sanctis-Cacchione syndrome	HP:0001009	Telangiectasia
912	278800	De Sanctis-Cacchione syndrome	HP:0001029	Poikiloderma
914	278800	De Sanctis-Cacchione syndrome	HP:0001036	Parakeratosis
381	278800	De Sanctis-Cacchione syndrome	HP:0001263	Global developmental delay
915	278800	De Sanctis-Cacchione syndrome	HP:0001266	Choreoathetosis
922	278800	De Sanctis-Cacchione syndrome	HP:0001284	Areflexia
925	278800	De Sanctis-Cacchione syndrome	HP:0002059	Cerebral atrophy
938	278800	De Sanctis-Cacchione syndrome	HP:0002119	Ventriculomegaly
946	278800	De Sanctis-Cacchione syndrome	HP:0002135	Basal ganglia calcification
913	278800	De Sanctis-Cacchione syndrome	HP:0001034	Hypermelanotic macule
907	278800	De Sanctis-Cacchione syndrome	HP:0000509	Conjunctivitis
289	278800	De Sanctis-Cacchione syndrome	HP:0001249	Intellectual disability
411	278800	De Sanctis-Cacchione syndrome	HP:0001265	Hyporeflexia
417	278800	De Sanctis-Cacchione syndrome	HP:0001268	Mental deterioration
133	278800	De Sanctis-Cacchione syndrome	HP:0002415	Leukodystrophy
497	278800	De Sanctis-Cacchione syndrome	HP:0000648	Optic atrophy
568	278800	De Sanctis-Cacchione syndrome	HP:0000252	Microcephaly
587	278800	De Sanctis-Cacchione syndrome	HP:0000407	Sensorineural hearing impairment
596	278800	De Sanctis-Cacchione syndrome	HP:0000486	Strabismus
74	278800	De Sanctis-Cacchione syndrome	HP:0001257	Spasticity
682	278800	De Sanctis-Cacchione syndrome	HP:0002069	Bilateral tonic-clonic seizure
54	278800	De Sanctis-Cacchione syndrome	HP:0001251	Ataxia
786	278800	De Sanctis-Cacchione syndrome	HP:0002283	Global brain atrophy
947	278800	De Sanctis-Cacchione syndrome	HP:0002542	Olivopontocerebellar atrophy
906	278800	De Sanctis-Cacchione syndrome	HP:0000491	Keratitis
948	278800	De Sanctis-Cacchione syndrome	HP:0002861	Melanoma
908	278800	De Sanctis-Cacchione syndrome	HP:0000621	Entropion
950	278800	De Sanctis-Cacchione syndrome	HP:0003510	Severe short stature
179	278800	De Sanctis-Cacchione syndrome	HP:0003487	Babinski sign
231	278800	De Sanctis-Cacchione syndrome	HP:0000007	Autosomal recessive inheritance
968	278800	De Sanctis-Cacchione syndrome	HP:0025455	Decreased CSF 5-hydroxyindolacetic acid
967	278800	De Sanctis-Cacchione syndrome	HP:0012407	Scissor gait
959	278800	De Sanctis-Cacchione syndrome	HP:0011463	Childhood onset
969	278800	De Sanctis-Cacchione syndrome	HP:0040078	Axonal degeneration
955	278800	De Sanctis-Cacchione syndrome	HP:0009830	Peripheral neuropathy
951	278800	De Sanctis-Cacchione syndrome	HP:0004334	Dermal atrophy
958	278800	De Sanctis-Cacchione syndrome	HP:0010665	Bilateral coxa valga
952	278800	De Sanctis-Cacchione syndrome	HP:0008110	Equinovarus deformity
949	278800	De Sanctis-Cacchione syndrome	HP:0003079	Defective DNA repair after ultraviolet radiation damage
953	278800	De Sanctis-Cacchione syndrome	HP:0008639	Gonadal hypoplasia
954	278800	De Sanctis-Cacchione syndrome	HP:0008689	Bilateral cryptorchidism
1026	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0002812	Coxa vara
1027	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0002869	Flared iliac wing
1025	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0002750	Delayed skeletal maturation
1028	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0002942	Thoracic kyphosis
1029	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0003016	Metaphyseal widening
1030	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0003071	Flattened epiphysis
1031	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0003071	Flattened epiphysis
1032	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0003311	Hypoplasia of the odontoid process
1033	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0004322	Short stature
316	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0001250	Seizure
1044	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0009381	Short finger
831	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0000369	Low-set ears
1042	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0006423	Peg-like central prominence of distal tibial metaphyses
829	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0000316	Hypertelorism
1043	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0008789	Cone-shaped capital femoral epiphysis
1024	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0002651	Spondyloepimetaphyseal dysplasia
1045	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0010585	Small epiphyses
1046	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0011800	Midface retrusion
772	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0000280	Coarse facial features
1048	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0012704	Widened subarachnoid space
1049	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0100864	Short femoral neck
608	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0000543	Optic disc pallor
1041	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0006028	Metaphyseal cupping of metacarpals
1023	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0002645	Wormian bones
868	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0006887	Intellectual disability, progressive
988	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0001371	Flexion contracture
979	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0000574	Thick eyebrow
982	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0000883	Thin ribs
983	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0000884	Prominent sternum
984	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0000907	Anterior rib cupping
985	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0000926	Platyspondyly
986	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0001156	Brachydactyly
987	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0001169	Broad palm
976	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0000455	Broad nasal tip
975	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0000294	Low anterior hairline
977	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0000470	Short neck
998	300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	HP:0001419	X-linked recessive inheritance
